,Ticker,Name,Market,Panel,Sector,Sub-Sector,Comment,Name(EN),Company Code(12),Ticker(4),Ticker(5),Ticker(12),Sector Code,Sub-Sector Code,Panel Code,Idx
383,اپرداز,آتیه داده پرداز,فرابورس,بازار دوم فرابورس,اطلاعات و ارتباطات,خدمات ارزش افزوده,-,Atieh Dade Pardaz,IRO3APDZ0005,APDZ,APDZ1,IRO3APDZ0001,73,7310,3,1384
384,اتکای,بیمه اتکایی ایرانیان,فرابورس,بازار دوم فرابورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه غیرزندگی,-,S*Iranian Etekai,IRO3ETKZ0008,ETKZ,ETKZ1,IRO3ETKZ0001,66,6603,3,1385
385,ارفع,شرکت آهن و فولاد ارفع,فرابورس,بازار دوم فرابورس,فلزات اساسی,تولید آهن و فولاد پایه,-,S*Arfa Steel Co.,IRO3ARFZ0001,ARFZ,ARFZ1,IRO3ARFZ0001,27,2710,3,1386
386,اعتلا,شرکت سرمایه گذاری اعتلاء البرز,فرابورس,بازار دوم فرابورس,سرمایه گذاریها,سایر واسطه های مالی,-,Alborz Invest.,IRO3ETLZ0007,ETLZ,ETLZ1,IRO3ETLZ0001,56,5699,3,1387
387,افرا,افرانت,فرابورس,بازار اول فرابورس,رایانه و فعالیت های وابسته به آن,سایر فعالیت های رایانه ای,-,Afra Net Co.,IRO3AFRZ0001,AFRZ,AFRZ1,IRO3AFRZ0001,72,7200,1,1388
388,انتخاب,صنعتی انتخاب الکترونیک آرمان,فرابورس,بازار اول فرابورس,ماشین آلات و تجهیزات,تولید وسایل خانگی,-,Entekhab Elect.,IRO3EELZ0004,EELZ,EELZ1,IRO3EELZ0001,29,2930,1,1389
389,اوان,مبین وان کیش,فرابورس,بازار اول فرابورس,اطلاعات و ارتباطات,خدمات ارزش افزوده,-,Mobin One Kish,IRO3MOBZ0004,MOBZ,MOBZ1,IRO3MOBZ0001,73,7310,1,1390
390,بالاس,مهندسی ساختمان تاسیسات راه آهن,فرابورس,بازار دوم فرابورس,پیمانکاری صنعتی,ساختمان و مهندسی عمران,-,Const and Rail,IRO3BLSZ0001,BLSZ,BLSZ1,IRO3BLSZ0001,45,4520,3,1391
391,بپاس,بیمه پاسارگاد,فرابورس,بازار دوم فرابورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,فعالیتهای مالی و اجرائی,-,S*Pasargad Insur.,IRO3BIPZ0009,BIPZ,BIPZ1,IRO3BIPZ0001,66,6611,3,1392
392,بپیوند,برق و انرژی پیوندگستر پارس,فرابورس,بازار اول فرابورس,عرضه برق، گاز، بخاروآب گرم,تولید انتقال و توزیع نیروی برق,-,Peyvand Gostar,IRO3PGRZ0003,PGRZ,PGRZ1,IRO3PGRZ0001,40,4010,1,1393
393,بجهرم,توسعه مولد نیروگاهی جهرم,فرابورس,بازار دوم فرابورس,عرضه برق، گاز، بخاروآب گرم,تولید انتقال و توزیع نیروی برق,-,Jahrom Power Plant,IRO3JPPZ0002,JPPZ,JPPZ1,IRO3JPPZ0001,40,4010,3,1394
394,بخاور,بیمه زندگی خاورمیانه,فرابورس,بازار اول فرابورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه زندگی,-,MiddleEast LifeINS,IRO3MLIZ0000,MLIZ,MLIZ1,IRO3MLIZ0001,66,6601,1,1395
395,بزاگرس,نیروگاه زاگرس کوثر,فرابورس,بازار دوم فرابورس,عرضه برق، گاز، بخاروآب گرم,تولید انتقال و توزیع نیروی برق,-,Zagros Kosar Power,IRO3ZKPZ0007,ZKPZ,ZKPZ1,IRO3ZKPZ0001,40,4010,3,1396
396,بساما,بیمه سامان,فرابورس,بازار دوم فرابورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,فعالیتهای مالی و اجرائی,-,Bime Saman Co.,IRO3BSMZ0000,BSMZ,BSMZ1,IRO3BSMZ0001,66,6611,3,1397
397,بکابل,سیم و کابل ابهر,فرابورس,بازار دوم فرابورس,ماشین آلات و دستگاه های برقی,تولید سیم و کابل عایق,-,Abhar Cable,IRO3ABCZ0002,ABCZ,ABCZ1,IRO3ABCZ0001,31,3130,3,1398
398,بکهنوج,تولید برق ماهتاب کهنوج,فرابورس,بازار دوم فرابورس,عرضه برق، گاز، بخاروآب گرم,تولید انتقال و توزیع نیروی برق,-,Kahnooj Mahtab Pow,IRO3KAHZ0006,KAHZ,KAHZ1,IRO3KAHZ0001,40,4010,3,1399
